tool,assumption_or_formula,evidence_note
ESG Readiness Diagnostic,Each dimension is rated from 1 to 5. The overall screening result is the arithmetic mean of entered ratings. The lowest-rated dimensions are surfaced as priorities.,"Verify policies, governance records, metrics, audit evidence, stakeholder records and current reporting requirements."
Mining Carbon Calculator,"Diesel emissions (tCO₂e) = diesel litres × entered diesel factor (kgCO₂e/L) ÷ 1,000. Grid emissions (tCO₂e) = grid kWh × entered grid factor (kgCO₂e/kWh) ÷ 1,000. Total = diesel + grid. Intensity = total ÷ entered production units. Renewable share = renewable kWh ÷ (renewable kWh + grid kWh) × 100.","Verify fuel records, metered electricity, production data, reporting boundary and current emission factors."
Renewable Energy Transition Calculator,"Potential diesel displacement = the lower of annual diesel use and solar generation × entered generator fuel rate. Fuel saving = displaced litres × fuel price. Avoided emissions = displaced litres × entered diesel factor ÷ 1,000. Simple payback = entered project CAPEX ÷ annual fuel saving when both are positive.","Verify solar resource, hourly load profile, generator performance, delivered fuel cost, project cost and current emission factors."
Stakeholder Mapping Tool,"The tool records influence, interest and relationship strength on a 1 to 5 scale, then uses those visible ratings to structure engagement priority.","Verify stakeholder identity, mandate, interests, influence, rights, current relationship and engagement history."
Government Relations Risk Mapper,Each institutional and execution risk is rated from 1 to 5. The arithmetic mean provides an overall exposure screen. Highest-rated dimensions are surfaced first.,"Verify current law, permit status, agency mandates, formal correspondence, policy documents and internal decision rights."
Social Licence Health Check,"The tool averages entered 1 to 5 ratings across trust, grievance response, local participation, commitments, communications and related dimensions. Lowest-rated areas are surfaced for follow-up.","Verify grievance data, commitments, engagement records, local employment and procurement evidence, environmental concerns and community feedback."
Executive Brief Generator,"The tool structures user-entered information into decision required, context, facts, unknowns, stakeholders, risks, options and next action.","Verify factual claims, decision authority, deadlines, stakeholders, risks and supporting documents before circulation."
Board Question Generator,"The tool combines a user-selected decision area with a fixed set of governance, evidence, downside, stakeholder and follow-up questions.","Verify the proposal, assumptions, downside case, decision rights, risk ownership and monitoring plan."
Career Evidence Builder,"The tool combines situation, action, evidence, verified outcome and lesson into an evidence-led achievement statement and interview structure.","Verify dates, role scope, metrics, documents, project records and attributable outcomes."
Job Description Fit Analyzer,"The browser compares predefined professional themes appearing in both the job description and profile text, then surfaces matched and missing themes. It intentionally avoids a percentage fit score.","Verify role requirements, transferable experience, work authorization, language requirements and evidence for each claimed capability."
Public Speaking Question Generator,"The tool combines topic, audience, format and context with a fixed set of evidence, trade-off, stakeholder and action-oriented question patterns.","Verify event context, audience needs, current evidence, sensitive issues and any statistics used in responses."
White Paper Research Navigator,The tool searches a local index of public research titles and topic keywords in the browser and returns matching documents.,"Review the source list, date and limitations inside each selected paper."
Guyana Investment Intelligence Dashboard,The dashboard presents structured diligence questions and official starting points by sector rather than a single investment score.,"Verify current requirements with official agencies, qualified advisers, contracts, project data and current legislation."
Guyana Government & Regulatory Navigator,The navigator matches user search terms to a curated list of public institutions and their broad administrative roles.,"Verify current agency mandates, forms, fees, legislation, permit conditions and official contact channels."
Responsible Mining Self-Assessment,Each responsible-mining practice is rated from 1 to 5. The arithmetic mean provides an overall screen and the lowest-rated dimensions are surfaced as priorities.,"Verify environmental, safety, workforce, community, human-rights, procurement, closure, governance and compliance records."
Free Executive Templates Library,"The library provides structured fields for recurring executive tasks such as issue escalation, stakeholder engagement, meeting preparation and action tracking.","Verify owners, dates, decision rights, source documents, commitments and closure evidence."
Water Demand & Storage Calculator,"End-use demand (m³/day) = people × litres per person per day ÷ 1,000 + process use. Required supply = end-use demand ÷ (1 − loss rate). Stress supply = required supply × (1 + surge rate). Storage = required supply × buffer days.","Verify demand records, seasonal variation, source yield, regulatory criteria, treatment requirements and emergency storage standards."
