tool,version,reviewed,methodology_url
ESG Readiness Diagnostic,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#esg-readiness
Mining Carbon Calculator,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#mining-carbon-calculator
Renewable Energy Transition Calculator,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#renewable-transition-calculator
Stakeholder Mapping Tool,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#stakeholder-mapper
Government Relations Risk Mapper,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#government-relations-risk
Social Licence Health Check,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#social-licence-health
Executive Brief Generator,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#executive-brief-generator
Board Question Generator,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#board-question-generator
Career Evidence Builder,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#career-evidence-builder
Job Description Fit Analyzer,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#job-fit-analyzer
Public Speaking Question Generator,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#speaking-question-generator
White Paper Research Navigator,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#white-paper-navigator
Guyana Investment Intelligence Dashboard,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#guyana-investment-dashboard
Guyana Government & Regulatory Navigator,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#guyana-regulatory-navigator
Responsible Mining Self-Assessment,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#responsible-mining-assessment
Free Executive Templates Library,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#executive-templates
Water Demand & Storage Calculator,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#water-demand-calculator
Local Content Value Calculator,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#local-content-calculator
Mining Diesel Cost & CO₂ Calculator,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#diesel-cost-carbon
Solar + Battery Sizing Screener,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#solar-battery-sizing
Community Investment Prioritizer,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#community-investment-prioritizer
ESG Materiality Matrix Builder,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#esg-materiality-matrix
Grievance Trend Analyzer,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#grievance-trend-analyzer
Executive 100-Day Plan Builder,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#executive-100-day-plan
Government Meeting Brief Builder,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#government-meeting-brief
Responsible Procurement Self-Assessment,1.1,23 September 2026,https://ragunauthramsaroop.com/methodology/#responsible-procurement-assessment
