title,url,category,description
ESG Readiness Diagnostic,https://ragunauthramsaroop.com/tools/esg-readiness/,ESG & Sustainability,"Assess governance, climate, social performance, stakeholder engagement and reporting readiness. Receive practical priorities and 90-day focus areas."
Mining Carbon Calculator,https://ragunauthramsaroop.com/tools/mining-carbon-calculator/,Mining & Carbon,"Estimate operational emissions from diesel and electricity, emissions intensity, renewable contribution and reduction scenarios using transparent assumptions."
Renewable Energy Transition Calculator,https://ragunauthramsaroop.com/tools/renewable-transition-calculator/,Energy Transition,"Estimate diesel displacement, fuel savings, avoided emissions and simple payback from solar and battery transition scenarios."
Stakeholder Mapping Tool,https://ragunauthramsaroop.com/tools/stakeholder-mapper/,Stakeholders & Social,"Map influence, interest and relationship strength, then generate a practical engagement priority list."
Government Relations Risk Mapper,https://ragunauthramsaroop.com/tools/government-relations-risk/,Government Relations,"Structure institutional, regulatory, reputation and execution risks before government or regulator engagement."
Social Licence Health Check,https://ragunauthramsaroop.com/tools/social-licence-health/,Community & Trust,"Review trust, grievances, local employment, procurement, commitments, communications and environmental concerns."
Executive Brief Generator,https://ragunauthramsaroop.com/tools/executive-brief-generator/,Executive Leadership,"Turn a complex issue into a disciplined one-page executive brief covering decision required, facts, unknowns, stakeholders, risks and actions."
Board Question Generator,https://ragunauthramsaroop.com/tools/board-question-generator/,Board & Governance,"Generate rigorous board and executive questions for ESG, governance, investment, risk, AI, energy and natural-resources decisions."
Career Evidence Builder,https://ragunauthramsaroop.com/tools/career-evidence-builder/,Career Development,"Convert professional experience into evidence-based achievement statements using situation, action, evidence, outcome and lesson."
Job Description Fit Analyzer,https://ragunauthramsaroop.com/tools/job-fit-analyzer/,Career Development,"Compare a job description with a professional profile locally in your browser. Identify aligned evidence, missing themes and interview preparation areas."
Public Speaking Question Generator,https://ragunauthramsaroop.com/tools/speaking-question-generator/,Executive Communication,"Generate moderator, audience and challenge questions for panels, conferences, interviews and executive speaking engagements."
White Paper Research Navigator,https://ragunauthramsaroop.com/tools/white-paper-navigator/,Research & Intelligence,Search Ragunauth Ramsaroop's public research library by topic and move directly to relevant white papers.
Guyana Investment Intelligence Dashboard,https://ragunauthramsaroop.com/tools/guyana-investment-dashboard/,Investment Intelligence,"A structured decision dashboard for investors and researchers examining Guyana across mining, energy, infrastructure and institutional readiness."
Guyana Government & Regulatory Navigator,https://ragunauthramsaroop.com/tools/guyana-regulatory-navigator/,Government & Regulation,"Find public institutions commonly relevant to mining, environment, energy, taxation, standards, aviation and investment in Guyana."
Responsible Mining Self-Assessment,https://ragunauthramsaroop.com/tools/responsible-mining-assessment/,Responsible Mining,"Review environmental, social, governance, workforce, community, procurement and institutional practices using a transparent self-assessment."
Free Executive Templates Library,https://ragunauthramsaroop.com/tools/executive-templates/,Executive Resources,"Practical templates for stakeholder mapping, issue escalation, executive briefs, ESG action plans, grievance tracking and meeting preparation."
Water Demand & Storage Calculator,https://ragunauthramsaroop.com/tools/water-demand-calculator/,Water & Resilience,"Estimate daily and annual water needs from people, per-person use and optional industrial use. Account for a planning loss factor, storage buffer and a user-selected demand-surge scenario."
Local Content Value Calculator,https://ragunauthramsaroop.com/tools/local-content-calculator/,Local Economic Development,"Enter total procurement, procurement with qualifying local suppliers, a target share, supplier count, workforce count and the local-worker count. The tool estimates shares and the extra local procurement needed to meet the scenario target."
Mining Diesel Cost & CO₂ Calculator,https://ragunauthramsaroop.com/tools/diesel-cost-carbon/,Mining Operations,"Estimate fuel cost, operational diesel emissions, production intensity and the effect of a user-selected diesel-reduction scenario."
Solar + Battery Sizing Screener,https://ragunauthramsaroop.com/tools/solar-battery-sizing/,Solar & Storage,"Screen indicative solar DC capacity and nominal battery energy from daily demand, solar resource, losses and autonomy assumptions."
Community Investment Prioritizer,https://ragunauthramsaroop.com/tools/community-investment-prioritizer/,Community Investment,"Compare community-investment options using transparent ratings for community evidence, impact, urgency, reach and feasibility."
ESG Materiality Matrix Builder,https://ragunauthramsaroop.com/tools/esg-materiality-matrix/,ESG & Materiality,"Structure a preliminary ESG issue matrix using stakeholder importance, business impact and evidence confidence."
Grievance Trend Analyzer,https://ragunauthramsaroop.com/tools/grievance-trend-analyzer/,Social Performance,"Analyse anonymised grievance categories, status, severity and days open directly in the browser without uploading personal data."
Executive 100-Day Plan Builder,https://ragunauthramsaroop.com/tools/executive-100-day-plan/,Executive Leadership,"Convert a mandate, priorities, stakeholders, risks and evidence into a structured first-100-days leadership plan."
Government Meeting Brief Builder,https://ragunauthramsaroop.com/tools/government-meeting-brief/,Government Relations,"Prepare a disciplined brief covering meeting objective, verified facts, decision sought, sensitivities, commitment boundaries and follow-up."
Responsible Procurement Self-Assessment,https://ragunauthramsaroop.com/tools/responsible-procurement-assessment/,Responsible Procurement,"Review supplier integrity, environment, human rights, tender controls, local supplier development and procurement evidence."
